op x y w h
update_knn1  0 1 1 1
update_knn10 0 1 1 1
update_knn11 0 1 1 1
update_knn12 0 1 1 1
update_knn13 0 1 1 1
update_knn14 0 1 1 1
update_knn15 0 1 1 1
update_knn16 0 1 1 1
update_knn17 0 1 1 1
update_knn18 0 1 1 1
update_knn19 0 1 1 1
update_knn2  0 1 1 1
update_knn20 0 1 1 1
update_knn3  0 1 1 1
update_knn4  0 1 1 1
update_knn5  0 1 1 1
update_knn6  0 1 1 1
update_knn7  0 1 1 1
update_knn8  0 1 1 1
update_knn9  0 1 1 1
