op x y w h
Sigmoid_axi   0 1 1 1
data_1_4_1    0 1 1 1
data_1_4_2    0 1 1 1
data_1_4_3    0 1 1 1
data_1_4_4    0 1 1 1
data_2_1      0 1 1 1
data_in_redir 0 1 1 1
dotProduct_1  0 1 1 1
dotProduct_2  0 1 1 1
dotProduct_3  0 1 1 1
dotProduct_4  0 1 1 1
dotProduct_5  0 1 1 1
dotProduct_6  0 0 1 1
dotProduct_7  0 1 1 1
dotProduct_8  0 1 1 1
