op x y w h
data_transfer       0 1 1 1
flow_calc_1         0 1 1 1
flow_calc_2         0 1 1 1
gradient_weight_x1  0 1 1 1
gradient_weight_x2  0 1 1 1
gradient_weight_x3  0 1 1 1
gradient_weight_y_1 0 1 1 1
gradient_weight_y_2 0 1 1 1
gradient_weight_y_3 0 1 1 1
gradient_xyz_calc   0 1 1 1
outer_product1      0 1 1 1
outer_product2      0 1 1 1
output_fun          0 1 1 1
tensor_weight_x1    0 1 1 1
tensor_weight_x2    0 1 1 1
tensor_weight_y1    0 1 1 1
tensor_weight_y2    0 1 1 1
